title,list_price,price,stock,url,category
PARLANTE BARRA DE SONIDO STROMBERG STAGE,None,101999.0,In Stock,https://www.hiperlibertad.com.ar/parlante-barra-de-sonido-stromberg-stage/p,Audio
PARLANTE PHILIPS TAX2206/77,99659.0,79727.2,In Stock,https://www.hiperlibertad.com.ar/parlante-philips-tax2206-77/p,Audio
AURICULARES PHILIPS TAE4105WT/00 BLANCO,11679.0,8759.25,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-tae4105wt-00-blanco/p,Audio
AURICULARES PHILIPS TAUE101BK/00,8349.0,6261.75,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-taue101bk-00/p,Audio
TORRE DE SONIDO BLUETOOTH PHILIPS TAX3305/77 100W,297519.0,238015.2,In Stock,https://www.hiperlibertad.com.ar/torre-philips-tax3305-77-100w/p,Audio
AURICULARES HP VINCHA DHE1205 NEGRO,16939.0,8469.99,In Stock,https://www.hiperlibertad.com.ar/auriculares-hp-vincha-dhe1205-negro/p,Audio
AURICULARES MOTOROLA EARBUDS 2S JACK 3.5MM MANOS LIBRES BLACK,7199.0,6119.15,In Stock,https://www.hiperlibertad.com.ar/auriculares-motorola-earbuds-2s-jack-3-5mm-manos-libres-black/p,Audio
AURICULARES HP DHE8011UM,None,49999.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-hp-dhe8011um/p,Audio
AURICULARES MOTOROLA EARBUDS 3S JACK 3.5MM MANOS LIBRES TEAL,7999.0,5599.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-motorola-earbuds-3s-jack-3-5mm-manos-libres-teal/p,Audio
AURICULARES PHILIPS TAH4105BK/00 NEGRO VINCHA,24388.99,18291.74,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-tah4105bk-00-negro/p,Audio
PARLANTE INALAMBRICOS TWS THONET & VANDER FREI CHAIN GRAU ROJO HK096-03603,None,None,In Stock,https://www.hiperlibertad.com.ar/parlante-inalambricos-tws-thonet-vander-frei-chain-grau-rojo-hk096-03603/p,Audio
PARLANTE MOONKI SOUND MO-PB280,None,125359.0,In Stock,https://www.hiperlibertad.com.ar/parlante-moonki-sound-mo-pb280/p,Audio
PARLANTE BLUETOOTH THONET & VANDER KURBIS CINEMA,None,345289.0,In Stock,https://www.hiperlibertad.com.ar/parlante-bluetooth-thonet-vander-kurbis-cinema/p,Audio
PARLANTE FOXBOX CORVUS 3W WIRELESS NEGRO,None,16999.0,In Stock,https://www.hiperlibertad.com.ar/parlante-foxbox-corvus-3w-wireless-negro/p,Audio
PARLANTE FOXBOX ORION GRIS,None,160149.0,In Stock,https://www.hiperlibertad.com.ar/parlante-foxbox-orion-gris/p,Audio
PARLANTE FOXBOX CORVUS 3W WIRELESS,None,16999.0,In Stock,https://www.hiperlibertad.com.ar/parlante-foxbox-corvus-3w-wireless/p,Audio
PARLANTE FOXBOX CORVUS 3W WIRELESS,None,16999.0,In Stock,https://www.hiperlibertad.com.ar/parlante-foxbox-corvus-3w-wireless-2/p,Audio
Auriculares Dekkin Vincha Con Cable Rosa,None,7149.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-rosa/p,Audio
