title,brand,list_price,price,stock,url,category,branch_id
QUESO RALLADO LA SERENÍSIMA BOLSA 130 GRS,La Serenisima,None,1105.0,In Stock,https://www.hiperlibertad.com.ar/queso-rallado-la-serenisima-bolsa-130-grs/p,Quesos,12
QUESO CAMEMBERT EMPERADOR X 200 Gr,Mir,2835.0,2151.35,In Stock,https://www.hiperlibertad.com.ar/queso-camembert-emperador-x-200-gr/p,Quesos,12
QUESO BRIE EMPERADOR X 100 Gr,Mir,2015.0,1529.15,In Stock,https://www.hiperlibertad.com.ar/queso-brie-emperador-x-100-gr/p,Quesos,12
QUESO CREMÓN LIGHT X 480 GR,La Serenísima,None,2213.9,In Stock,https://www.hiperlibertad.com.ar/queso-cremon-light-x-480gr/p,Quesos,12
Queso Manfrey Blanco Gourmet X 290 Grs,Manfrey,None,363.63,In Stock,https://www.hiperlibertad.com.ar/queso-manfrey-blanco-gourmet-x-290-grs/p,Quesos,12
QUESO REGGIANITO LA PAULINA TROZADO X 250 Gr,La Paulina,None,1498.9,In Stock,https://www.hiperlibertad.com.ar/queso-reggianito-la-paulina-trozado-x-250-gr/p,Quesos,12
QUESO CREMOSO MANFREY X 500 Gr,Manfrey,None,1815.9,In Stock,https://www.hiperlibertad.com.ar/queso-cremoso-manfrey-x-500-gr/p,Quesos,12
Queso Con Crema Tonadita Cremette Clasico x 480 Gr,Tonadita,None,1249.0,In Stock,https://www.hiperlibertad.com.ar/queso-con-crema-tonadita-cremette-clasico-x-480-gr/p,Quesos,12
Queso Sancor Regianito Rallado X 190 Gr,SanCor,None,1589.0,In Stock,https://www.hiperlibertad.com.ar/queso-sancor-regianito-rallado-x-190-gr/p,Quesos,12
QUESO FINLANDIA BALANCE 180 GRS,Finlandia,833.0,583.1,In Stock,https://www.hiperlibertad.com.ar/queso-finlandia-balance-180-grs/p,Quesos,12
QUESO FINLANDIA LIGHT POT 180 GRS,Finlandia,880.0,616.0,In Stock,https://www.hiperlibertad.com.ar/queso-finlandia-light-pot-180-grs/p,Quesos,12
QUESO CREMÓN CREMOSO X 500 G,La Serenísima,None,2096.9,In Stock,https://www.hiperlibertad.com.ar/queso-cremon-cremoso-x-500gr/p,Quesos,12
QUESO DANBO LACTEAR X 250 Gr,LACTEAR,None,1199.9,In Stock,https://www.hiperlibertad.com.ar/queso-danbo-lactear-x-250-gr/p,Quesos,12
Queso En Hebras La Paulina Italiano Ligth 135Gr,La Paulina,None,872.0,In Stock,https://www.hiperlibertad.com.ar/queso-en-hebras-la-paulina-italiano-ligth-135gr/p,Quesos,12
