title,brand,list_price,price,stock,url,category,branch_id
ANTENA ONE FOR ALL SV9141,One For All,18299.0,12809.3,In Stock,https://www.hiperlibertad.com.ar/antena-one-for-all-sv9141/p,TV y video,12
Cable HDMI 4.6 mts Full HD 1080p 4K Ultra HD,General Electric,15299.0,10709.3,In Stock,https://www.hiperlibertad.com.ar/cable-hdmi-4-6-mts-full-hd-1080p-4k-ultra-hd/p,TV y video,12
"Soporte de pared para reproductor de DVD, Blu-Ray y consola de juegos SPL-970a",Nakan,26599.0,18619.3,In Stock,https://www.hiperlibertad.com.ar/soporte-de-pared-para-reproductor-de-dvd-blu-ray-y-consola-de-juegos-spl-970a/p,TV y video,12
Soporte para TV de doble brazo SPL-780e,Nakan,129199.0,90439.3,In Stock,https://www.hiperlibertad.com.ar/soporte-para-tv-de-doble-brazo-spl-780e/p,TV y video,12
"SMART TV 43"" PULGADAS PHILIPS FHD BLANCO 43PFD6927",Philips,259999.0,207999.2,In Stock,https://www.hiperlibertad.com.ar/smart-tv-43-pulgadas-philips-fhd-blanco-43pfd6927/p,TV y video,12
SOPORTE DE PIE PARA TV ONE BOX OB-P1 23 A 70 PULGADAS,One Box,51739.0,36217.3,In Stock,https://www.hiperlibertad.com.ar/soporte-de-pie-para-tv-one-box-ob-p1-23-a-70-pulgadas/p,TV y video,12
ANTENA ONE FOR ALL SV9030/9031,One For All,14249.0,9974.3,In Stock,https://www.hiperlibertad.com.ar/antena-one-for-all-sv9030-9031/p,TV y video,12
